Make,Model,Trim,Derivative,Derivative_Translated_English,Number_Of_Doors,Body_Type,Power_Train,Version_Name,Version_Name_Translated_English,Manufacturer_S_Code,Configurator_Model_Year,Built_Option_Pack,Uid,Data_Date,Conclude_Date,Version_Availability,Currency,Price,Delivery_Costs_Retail,Cost_To_Return_The_Vehicle_Retail,Total_Mandatory_Packs_Amount,Country,Research_Date,Start_Date,End_Date,Customer_Type,Monthly_Payment_Type,Product_Name,Product_Description,Monthly_Payment_Provider_Name,Monthly_Payment_Provider_Type,Interest_Rate_Apr,Interest_Rate_Nominal,Contract_Duration_Months,Yearly_Mileage_Km,Yearly_Mileage_Miles,Total_Contract_Mileage_Km,Total_Contract_Mileage_Miles,Deposit_Percentage_Of_Price,Deposit_Retail,Deposit_Base,Of_Monthly_Payments_In_Advance,Of_Monthly_Instalments,First_Monthly_Instalment_Amount_Retail,First_Monthly_Instalment_Amount_Base,Regular_Monthly_Instalment_Amount_Retail,Regular_Monthly_Instalment_Amount_Base,Additional_Fees_Retail,Additional_Fees_Base,Final_Payment_Type,Final_Payment_Percentage_Of_Price,Final_Payment_Retail,Final_Payment_Base,Data_Source,Web_Source_Url,Advertised_Price_Point_Monthly_Payment,Published_Start_Date,Published_End_Date,Oem_Web_Financial_Configurator_Source,Captive_Financial_Configurator_Source,Non_Captive_Financial_Configurator_Source,Bank_Financial_Configurator_Source,Sourced_Dealer_Quote,Jato_Internal_Source,Other_Sources,Vehicle_Price_Reference,Mandatory_Dealer_Contribution_Percentage_Of_Price,Mandatory_Dealer_Contribution_Retail,Mandatory_Dealer_Contribution_Base,Oem_Discount_Percentage_Of_Price,Oem_Discount_Retail,Oem_Discount_Base,Government_Contribution_Percentage_Of_Price,Government_Contribution_Retail,Government_Contribution_Base,Downpayment_Allowance_Percentage_Of_Price,Downpayment_Allowance_Retail,Downpayment_Allowance_Base,Captive_Rebate_Percentage_Of_Price,Captive_Rebate_Retail,Captive_Rebate_Base,Free_Supply_Amount,Residual_Value_Percentage_Of_Price,Residual_Value_Retail,Residual_Value_Base,Lease_Factor_Index,Insurance,Theft_And_Fire_Insurance,Insurance_Description,Sourced_Financed_Amount_Percentage_Of_Price,Sourced_Financed_Amount_Retail,Sourced_Financed_Amount_Base,Unique_Id,Change_Status,Updates_Column,Back_End_Data,Vehicle_Hash,Excess_Mileage_Retail,Excess_Mileage_Base,Reimbursement_Mileage_Retail,Reimbursement_Mileage_Base,Courtesy_Car,Courtesy_Car_Description,Courtesy_Car_Duration_Months,Courtesy_Car_Amount,Fuel_And_Electric_Supply,Fuel_And_Electric_Supply_Description,Supply_Duration_Months,Supply_Amount,Fuel_Quantity_L,Fuel_Quantity_Gal,Electricity_Quantity_Kw,Road_Assistance,Road_Assistance_Description,Road_Assistance_Duration_Months,Road_Assistance_Distance_Km,Road_Assistance_Distance_Miles,Road_Assistance_Amount,Flexible_Early_Cancellation_Possible,Notice_To_Terminate_The_Contract_Mths,Cost_To_Terminate_Contract_Percentage_Of_Price,Cost_To_Terminate_The_Contract_Retail,Cost_To_Terminate_The_Contract_Base,Cost_To_Terminate_The_Contract_Description,Road_Tax,Tyres,Tyres_Description,Tyres_Duration_Months,Of_Summer_Tyres,Of_Winter_Tyres,Of_All_Seasons_Tyres,Tyres_Amount,Premium_Tyres,Tyres_Storage_Service,Maintenance,Maintenance_Description,Maintenance_Duration_Months,Maintenance_Distance_Km,Maintenance_Distance_Miles,Maintenance_Amount,Repair,Repair_Description,Repair_Duration_Months,Repair_Distance_Km,Repair_Distance_Miles,Repair_Amount,Service,Service_Description,Service_Duration_Months,Service_Distance_Km,Service_Distance_Miles,Service_Amount
MINI,John Cooper Works Clubman,Not Available,MINI John Cooper Works UNTOLD Sondermodell Panorama 1,MINI John Cooper Works UNTOLD Sondermodell Panorama 1,4/5,Kombi,Benzin,MINIJohn Cooper Works ClubmanMINI John Cooper Works UNTOLD Sondermodell Panorama 14/5KombiBenzin,MINIJohn Cooper Works ClubmanMINI John Cooper Works UNTOLD Sondermodell Panorama 14/5KombiBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,42.49,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,"Autohaus Michael Schmidt GmbH, BMW Vertragshndler",Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",36,9999.9720514,6213.71,29999.9161542,18641.13,Not Available,0,Not Available,Not Available,36,Not Available,Not Available,761.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402334758&isSearchRequest=true&lst=p&od=down&pageNumber=7&ref=srp&refId=6ac97c2a f07e 3322 25e0 66dc328b29de&s=Car&sb=doc&searchId=6ac97c2a f07e 3322 25e0 66dc328b29de&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,35705.88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Kia,Sportage,Not Available,Kia Sportage 1.6T 180 AWD DCT Spirit / Drive Paket,Kia Sportage 1.6T 180 AWD DCT Spirit / Drive Paket,4/5,SUV / Gelndewagen / Pickup,Benzin,KiaSportageKia Sportage 1.6T 180 AWD DCT Spirit / Drive Paket4/5SUV / Gelndewagen / PickupBenzin,KiaSportageKia Sportage 1.6T 180 AWD DCT Spirit / Drive Paket4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,45.63,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Feser Scharf Metropol GmbH Kia Hallstadt,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,666.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402325745&isSearchRequest=true&lst=p&od=down&pageNumber=8&ref=srp&refId=ba67792d ae74 0a3e da73 8b61239036e6&s=Car&sb=doc&searchId=ba67792d ae74 0a3e da73 8b61239036e6&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,38344.54,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Volkswagen,T Cross,Not Available,Volkswagen T Cross Life 1.0 l TSI DSG ACC MATRIX LED KAMERA,Volkswagen T Cross Life 1.0 l TSI DSG ACC MATRIX LED KAMERA,4/5,SUV / Gelndewagen / Pickup,Benzin,VolkswagenT CrossVolkswagen T Cross Life 1.0 l TSI DSG ACC MATRIX LED KAMERA4/5SUV / Gelndewagen / PickupBenzin,VolkswagenT CrossVolkswagen T Cross Life 1.0 l TSI DSG ACC MATRIX LED KAMERA4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,27.88,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Heinrich ROSIER GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,378.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=398750126&isSearchRequest=true&lst=p&od=down&pageNumber=9&ref=srp&refId=8290931e 320d e8e4 e598 4f984c2a0aa0&s=Car&sb=doc&searchId=8290931e 320d e8e4 e598 4f984c2a0aa0&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,23428.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Ford,Puma,Not Available,Ford Puma ST 1.0 EcoBoost MHEV ACC PDC NAV SHZ,Ford Puma ST 1.0 EcoBoost MHEV ACC PDC NAV SHZ,4/5,SUV / Gelndewagen / Pickup,Benzin,FordPumaFord Puma ST 1.0 EcoBoost MHEV ACC PDC NAV SHZ4/5SUV / Gelndewagen / PickupBenzin,FordPumaFord Puma ST 1.0 EcoBoost MHEV ACC PDC NAV SHZ4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,34.99,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autocenter Mothor GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,374.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402334519&isSearchRequest=true&lst=p&od=down&pageNumber=7&ref=srp&refId=6ac97c2a f07e 3322 25e0 66dc328b29de&s=Car&sb=doc&searchId=6ac97c2a f07e 3322 25e0 66dc328b29de&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,29403.36,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Volkswagen,Golf,Not Available,Volkswagen Golf VIII,Volkswagen Golf VIII,4/5,Kombi,Benzin,VolkswagenGolfVolkswagen Golf VIII4/5KombiBenzin,VolkswagenGolfVolkswagen Golf VIII4/5KombiBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,24.99,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,AVG ROSIER GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,259.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402325438&isSearchRequest=true&lst=p&od=down&pageNumber=8&ref=srp&refId=ba67792d ae74 0a3e da73 8b61239036e6&s=Car&sb=doc&searchId=ba67792d ae74 0a3e da73 8b61239036e6&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,21000.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Volkswagen,Taigo,Not Available,Volkswagen Taigo 1.0 TSI Life LED NAVI KAMERA SPURH. SPURW.,Volkswagen Taigo 1.0 TSI Life LED NAVI KAMERA SPURH. SPURW.,4/5,SUV / Gelndewagen / Pickup,Benzin,VolkswagenTaigoVolkswagen Taigo 1.0 TSI Life LED NAVI KAMERA SPURH. SPURW.4/5SUV / Gelndewagen / PickupBenzin,VolkswagenTaigoVolkswagen Taigo 1.0 TSI Life LED NAVI KAMERA SPURH. SPURW.4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,21.44,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Heinrich ROSIER GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,220.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=398750122&isSearchRequest=true&lst=p&od=down&pageNumber=9&ref=srp&refId=8290931e 320d e8e4 e598 4f984c2a0aa0&s=Car&sb=doc&searchId=8290931e 320d e8e4 e598 4f984c2a0aa0&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,18016.81,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Volkswagen,ID. Buzz,Not Available,Volkswagen e up! 1 Gang Automatik,Volkswagen e up! 1 Gang Automatik,4/5,Van / Minibus,Elektro,VolkswagenID. BuzzVolkswagen e up! 1 Gang Automatik4/5Van / MinibusElektro,VolkswagenID. BuzzVolkswagen e up! 1 Gang Automatik4/5Van / MinibusElektro,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,28.403,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Volkswagen Automobile Hamburg GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,309.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402334358&isSearchRequest=true&lst=p&od=down&pageNumber=7&ref=srp&refId=6ac97c2a f07e 3322 25e0 66dc328b29de&s=Car&sb=doc&searchId=6ac97c2a f07e 3322 25e0 66dc328b29de&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,23867.66,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Renault,Talisman,Not Available,Renault Talisman Grandt TCe 160 EDC Intens Pano EHK Kam,Renault Talisman Grandt TCe 160 EDC Intens Pano EHK Kam,4/5,Kombi,Benzin,RenaultTalismanRenault Talisman Grandt TCe 160 EDC Intens Pano EHK Kam4/5KombiBenzin,RenaultTalismanRenault Talisman Grandt TCe 160 EDC Intens Pano EHK Kam4/5KombiBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,21.488,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Tabor GmbH Achern,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",60,4999.9860257,3106.855,24999.9301285,15534.275,Not Available,0,Not Available,Not Available,60,Not Available,Not Available,259.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402325437&isSearchRequest=true&lst=p&od=down&pageNumber=8&ref=srp&refId=ba67792d ae74 0a3e da73 8b61239036e6&s=Car&sb=doc&searchId=ba67792d ae74 0a3e da73 8b61239036e6&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,18057.14,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Volkswagen,T Cross,Not Available,Volkswagen T Cross Life 1.0 TSI ACC MATRIX LED KAMERA SHZ,Volkswagen T Cross Life 1.0 TSI ACC MATRIX LED KAMERA SHZ,4/5,SUV / Gelndewagen / Pickup,Benzin,VolkswagenT CrossVolkswagen T Cross Life 1.0 TSI ACC MATRIX LED KAMERA SHZ4/5SUV / Gelndewagen / PickupBenzin,VolkswagenT CrossVolkswagen T Cross Life 1.0 TSI ACC MATRIX LED KAMERA SHZ4/5SUV / Gelndewagen / PickupBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,27.88,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Autohaus Heinrich ROSIER GmbH,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,378.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=398750117&isSearchRequest=true&lst=p&od=down&pageNumber=9&ref=srp&refId=8290931e 320d e8e4 e598 4f984c2a0aa0&s=Car&sb=doc&searchId=8290931e 320d e8e4 e598 4f984c2a0aa0&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,23428.57,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Audi,A5,Not Available,Audi A5 Sportback S line 45 TFSI quattro S tronic MAT,Audi A5 Sportback S line 45 TFSI quattro S tronic MAT,4/5,Limousine,Benzin,AudiA5Audi A5 Sportback S line 45 TFSI quattro S tronic MAT4/5LimousineBenzin,AudiA5Audi A5 Sportback S line 45 TFSI quattro S tronic MAT4/5LimousineBenzin,Not Available,Not Available,Not Available,Not Available,,,Not Available,EUR,55.0,,Not Available,Not Available,DE,2024-08-11,,,PRIVATE,BALLOON,Audi Dessau Feser Heise,Not Available,Santander Carcredit,Check24 GmbH,"5,99%","5,83%",48,9999.9720514,6213.71,39999.8882056,24854.84,Not Available,0,Not Available,Not Available,48,Not Available,Not Available,494.0,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Market,https: suchen.mobile.de fahrzeuge/details.html?id=402333831&isSearchRequest=true&lst=p&od=down&pageNumber=7&ref=srp&refId=6ac97c2a f07e 3322 25e0 66dc328b29de&s=Car&sb=doc&searchId=6ac97c2a f07e 3322 25e0 66dc328b29de&vc=Car,Not Available,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Market,46218.49,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Check24 GmbH,Not Available,"CHECK24's car insurance comparison is the only one in Germany to have achieved more than 15 test victories, most recently in the study 'Car insurance comparison portals' (uro am Sonntag, issue 01/22).",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
